---,InjuryTag,AffectedLimb,InjuryName,WalkSpeedMultiplier,SprintSpeedCap,MaxStaminaMultiplier,StaminaDrainMultiplier,MeleeDamageMultiplier,ThrowPowerMultiplier,MouseResistanceMultiplier,SprintPainPerSecond,LandingPainDamage,ActionPainCost,ChargedThrowPainCost,bBlocksQuickMelee,bBlocksHoldBreath
Status.Injury.Minor.Sprain,"(TagName=""Status.Injury.Minor.Sprain"")",Legs,"Skręcenie Kostki",0.85,0.0,1.0,1.20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Major.Legs,"(TagName=""Status.Injury.Major.Legs"")",Legs,"Złamanie Nogi",0.90,420.0,1.0,1.0,1.0,0.80,1.0,2.0,5.0,0.0,0.0,false,false
Status.Injury.Minor.Chest,"(TagName=""Status.Injury.Minor.Chest"")",Chest,"Obicie Żeber",1.0,0.0,1.0,1.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Major.Chest,"(TagName=""Status.Injury.Major.Chest"")",Chest,"Pęknięte Żebra / Odma",1.0,0.0,0.50,1.0,1.0,0.80,1.0,0.0,0.0,3.0,0.0,false,true
Status.Injury.Minor.RightArm,"(TagName=""Status.Injury.Minor.RightArm"")",RightArm,"Skaleczone Śródręcze",1.0,0.0,1.0,1.30,1.0,0.75,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Major.RightArm,"(TagName=""Status.Injury.Major.RightArm"")",RightArm,"Strzaskane Śródręcze",1.0,0.0,1.0,1.0,0.30,0.30,1.0,0.0,0.0,4.0,4.0,false,false
Status.Injury.Minor.LeftArm,"(TagName=""Status.Injury.Minor.LeftArm"")",LeftArm,"Zbity Nadgarstek",1.0,0.0,1.0,1.0,1.0,0.80,1.30,0.0,0.0,0.0,0.0,false,false
Status.Injury.Major.LeftArm,"(TagName=""Status.Injury.Major.LeftArm"")",LeftArm,"Zwichnięty Bark",1.0,0.0,1.0,1.0,1.0,0.50,1.80,0.0,0.0,1.0,2.0,false,false
Status.Injury.Minor.Head,"(TagName=""Status.Injury.Minor.Head"")",Head,"Szum Uszny",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Major.Head,"(TagName=""Status.Injury.Major.Head"")",Head,"Ciężki Wstrząs Mózgu",1.0,0.0,1.0,1.0,0.80,0.80,1.50,0.0,0.0,0.0,0.0,false,false
Status.Injury.Minor.TrenchFoot,"(TagName=""Status.Injury.Minor.TrenchFoot"")",Legs,"Stopa Okopowa",0.90,0.0,1.0,1.10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Minor.Burns,"(TagName=""Status.Injury.Minor.Burns"")",None,"Zwęglenie Skóry",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Minor.Arrhythmia,"(TagName=""Status.Injury.Minor.Arrhythmia"")",Chest,"Arytmia Serca",1.0,0.0,1.0,1.15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
Status.Injury.Minor.SootLungs,"(TagName=""Status.Injury.Minor.SootLungs"")",Chest,"Pylica Płuc",1.0,0.0,0.85,1.20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false
