---,StatusTag,EffectName,DefaultDuration,bIsStun,SpeedMultiplier,DamagePerTick,TickInterval,bSpawnsBloodScent
Status.State.Hazard.Electrocuted,"(TagName=""Status.State.Hazard.Electrocuted"")","Porażenie Prądem (STUN)",1.5,true,0.0,8.0,0.5,false
Status.Injury.Minor.Bleeding,"(TagName=""Status.Injury.Minor.Bleeding"")","Krwawienie",30.0,false,1.0,1.0,3.0,true
Status.Debuff.Slowed,"(TagName=""Status.Debuff.Slowed"")","Spowolnienie (Błoto / Woda)",5.0,false,0.60,0.0,0.0,false
Status.State.Neutral.Oiled,"(TagName=""Status.State.Neutral.Oiled"")","Zaolejony (Katalizator Ognia)",15.0,false,0.90,0.0,0.0,false
Status.State.Neutral.Wet,"(TagName=""Status.State.Neutral.Wet"")","Mokry (Przewodzi Prąd)",20.0,false,1.0,0.0,0.0,false
Status.State.Hazard.Burning,"(TagName=""Status.State.Hazard.Burning"")","Płonięcie",8.0,false,1.0,10.0,1.0,false
Status.State.Hazard.Corroding,"(TagName=""Status.State.Hazard.Corroding"")","Trawienie Kwasem",12.0,false,1.0,15.0,1.0,false
Status.State.Hazard.Scalding,"(TagName=""Status.State.Hazard.Scalding"")","Gorąca Para",6.0,false,0.85,8.0,1.0,false
Status.Buff.Palliative.Laudanum,"(TagName=""Status.Buff.Palliative.Laudanum"")","Znieczulenie Laudanum",120.0,false,1.0,0.0,0.0,false
Status.Buff.Palliative.Mariani,"(TagName=""Status.Buff.Palliative.Mariani"")","Ukojenie Wina Mariani",120.0,false,1.0,0.0,0.0,false
